NUM_AUTORIZACION_TC,IND_ANOMALA_SVM,IND_ANOMALA_GN
833690,[-1],NA
833748,[-1],NA
869015,[-1],NA
908726,[-1],BAJA
819043,[-1],NA
900216,[-1],NA
911144,[-1],BAJA
849044,[-1],NA
824732,[-1],NA
828357,[-1],NA
836086,[-1],NA
844505,[-1],BAJA
836108,[-1],NA
842819,[-1],NA
905941,[-1],NA
890786,[-1],NA
936566,[-1],BAJA
852269,[-1],NA
901490,[-1],NA
832257,[-1],NA
840044,[-1],BAJA
863517,[-1],NA
905203,[-1],BAJA
843297,[-1],NA
885871,[-1],BAJA
870106,[-1],BAJA
861553,[-1],NA
820242,[-1],BAJA
833078,[-1],NA
886897,[-1],NA
815774,[-1],NA
888760,[-1],BAJA
918767,[-1],BAJA
820273,[-1],NA
848842,[-1],NA
851684,[-1],NA
854464,[-1],BAJA
830873,[-1],NA
805220,[-1],NA
819414,[-1],BAJA
897383,[-1],NA
819046,[-1],NA
841010,[-1],BAJA
811970,[-1],NA
824444,[-1],NA
880049,[-1],BAJA
901953,[-1],NA
840657,[-1],NA
897691,[-1],NA
881643,[-1],NA
814410,[-1],NA
868225,[-1],NA
894369,[-1],NA
853931,[-1],NA
891295,[-1],BAJA
908684,[-1],NA
857032,[-1],NA
846947,[-1],NA
901478,[-1],BAJA
849873,[-1],NA
900694,[-1],NA
869215,[-1],NA
874572,[-1],NA
855218,[-1],NA
843825,[-1],NA
937951,[-1],NA
918049,[-1],NA
859371,[-1],NA
849312,[-1],BAJA
916695,[-1],BAJA
849268,[-1],BAJA
806301,[-1],BAJA
932260,[-1],NA
932737,[-1],NA
872785,[-1],BAJA
872015,[-1],BAJA
839662,[-1],BAJA
926216,[-1],NA
807911,[-1],NA
846041,[-1],NA
901512,[-1],NA
891580,[-1],NA
913567,[-1],BAJA
928321,[-1],NA
900722,[-1],NA
908637,[-1],NA
830475,[-1],NA
848346,[-1],BAJA
823114,[-1],BAJA
813884,[-1],NA
850947,[-1],BAJA
880536,[-1],BAJA
860013,[-1],NA
892388,[-1],NA
913808,[-1],NA
833513,[-1],NA
843458,[-1],NA
901515,[-1],BAJA
902666,[-1],NA
824842,[-1],NA
830112,[-1],NA
862407,[-1],NA
867475,[-1],NA
850580,[-1],BAJA
825640,[-1],NA
856728,[-1],NA
858797,[-1],NA
893976,[-1],NA
865837,[-1],NA
846446,[-1],BAJA
866662,[-1],NA
903787,[-1],NA
824490,[-1],NA
865157,[-1],BAJA
833478,[-1],NA
913481,[-1],NA
836572,[-1],BAJA
825711,[-1],NA
853856,[-1],BAJA
901089,[-1],NA
844506,[-1],BAJA
816017,[-1],NA
854976,[-1],BAJA
896170,[-1],NA
925193,[-1],NA
826229,[-1],NA
837216,[-1],NA
856191,[-1],NA
873825,[-1],NA
886985,[-1],NA
846879,[-1],NA
867608,[-1],NA
892263,[-1],NA
912312,[-1],NA
904364,[-1],NA
820546,[-1],NA
810196,[-1],NA
884899,[-1],BAJA
933098,[-1],NA
820241,[-1],NA
889525,[-1],BAJA
919803,[-1],NA
864900,[-1],BAJA
857795,[-1],NA
852508,[-1],BAJA
811751,[-1],BAJA
833979,[-1],BAJA
921841,[-1],NA
818652,[-1],NA
932700,[-1],NA
861224,[-1],BAJA
812283,[-1],NA
933213,[-1],BAJA
922400,[-1],BAJA
839082,[-1],NA
835685,[-1],BAJA
817117,[-1],NA
909010,[-1],BAJA
887247,[-1],NA
912457,[-1],NA
930069,[-1],NA
917085,[-1],NA
920412,[-1],BAJA
840621,[-1],BAJA
871140,[-1],BAJA
930141,[-1],NA
919361,[-1],NA
880466,[-1],NA
821968,[-1],BAJA
858025,[-1],BAJA
839300,[-1],NA
817392,[-1],NA
881991,[-1],NA
907914,[-1],NA
817885,[-1],BAJA
911952,[-1],BAJA
885979,[-1],NA
848847,[-1],BAJA
865512,[-1],NA
809377,[-1],BAJA
864424,[-1],BAJA
834526,[-1],NA
849635,[-1],NA
855578,[-1],NA
841119,[-1],BAJA
823205,[-1],BAJA
920043,[-1],BAJA
902115,[-1],BAJA
892136,[-1],NA
923105,[-1],NA
918943,[-1],NA
938008,[-1],BAJA
933077,[-1],BAJA
900462,[-1],NA
926494,[-1],NA
920766,[-1],NA
893601,[-1],NA
844799,[-1],BAJA
936285,[-1],NA
845157,[-1],NA
822928,[-1],NA
816100,[-1],NA
930691,[-1],NA
910559,[-1],BAJA
912000,[-1],BAJA
