NUM_AUTORIZACION_TC,MON_MOVIMIENTO_QUETZALIZADO,FEC_AUTORIZACION,TIP_NEGOCIO,PAIS_ORIGEN,COD_MONEDA_ORIGEN,COD_PROD_EMISOR,NUM_CTA_DEB,COD_CLIENTE,IND_ANOMALA,IND_ESTADO_INACTIVA,PORC_RETIRO,CNT_CUENTAS_DISTINTAS,IND_DEBAJO_UMBRAL_15K,IND_SUP_15K,CNT_RETIRO_CUENTA,CNT_CAJEROS_DISTINTOS
757886,200.0,2005-10-21 21:15:00,5073,37,29,10,40684,35477,1,0,0.01,1,0,0,2,2
827282,200.0,2005-11-05 13:27:00,352,37,29,5,41042,36350,1,0,0.0,1,0,0,3,3
840404,300.0,2005-11-08 19:08:00,1168,37,29,2,11197,29546,1,0,0.35,1,0,0,2,2
443702,100.0,2005-08-13 13:07:00,1168,37,29,2,11197,29546,1,0,0.33,1,0,0,1,1
474377,100.0,2005-08-19 17:12:00,1829,37,29,10,41181,17392,1,0,0.72,1,0,0,1,1
57201,100.0,2005-05-15 11:24:00,2732,37,29,4,21363,23997,1,0,0.09,1,0,0,1,1
392136,2000.0,2005-08-01 12:21:00,1958,37,29,4,21363,23997,1,0,0.66,1,1,0,1,1
836850,500.0,2005-11-07 19:22:00,3422,37,29,4,23658,21845,1,0,0.77,1,0,0,1,1
66697,300.0,2005-05-17 13:04:00,2725,37,29,4,26720,37007,1,0,0.37,1,0,0,1,1
522574,100.0,2005-08-31 19:48:00,2792,37,29,2,1106,24676,1,0,34.48,1,0,0,1,1
761374,1500.0,2005-10-22 16:43:00,623,37,29,2,11197,29546,1,0,0.57,1,0,0,1,1
60992,500.0,2005-05-16 08:25:00,434,37,29,10,40684,35477,1,0,0.32,1,0,0,1,1
51979,100.0,2005-05-14 13:13:00,1943,37,29,10,41181,17392,1,0,0.06,1,0,0,1,1
595519,500.0,2005-09-16 15:54:00,1943,37,29,10,41181,17392,1,0,0.3,1,0,0,1,1
503763,300.0,2005-08-27 16:55:00,2224,37,29,2,1106,24676,1,0,2.86,1,0,0,2,2
641863,700.0,2005-09-28 11:15:00,2696,37,29,4,21363,23997,1,0,6.9,1,0,0,2,2
322911,500.0,2005-07-17 13:41:00,16,37,29,2,32605,34859,1,0,0.07,1,0,0,1,1
652395,200.0,2005-09-30 12:47:00,1661,37,29,5,41042,36350,1,0,0.0,1,0,0,2,2
563372,300.0,2005-09-10 08:04:00,2724,37,29,4,26720,37007,1,0,0.24,1,0,0,1,1
516691,300.0,2005-08-31 08:22:00,2721,37,29,2,32605,34859,1,0,0.02,1,0,0,1,1
503671,500.0,2005-08-27 16:34:00,1551,37,29,10,40684,35477,1,0,0.05,1,0,0,1,1
642401,500.0,2005-09-28 13:06:00,4012,37,29,2,32605,34859,1,0,0.06,1,0,0,4,1
744434,100.0,2005-10-18 18:04:00,3444,37,29,2,1106,24676,1,0,0.07,1,0,0,1,1
909114,100.0,2005-11-23 05:58:00,3988,37,29,4,38229,36655,1,0,0.19,1,0,0,1,1
150423,500.0,2005-06-08 19:28:00,2725,37,29,4,26720,37007,1,0,20.88,1,0,0,1,1
746375,200.0,2005-10-19 11:26:00,3449,37,29,4,23658,21845,1,0,0.17,1,0,0,1,1
933660,100.0,2005-11-29 10:33:00,3988,37,29,4,38229,36655,1,0,0.05,1,0,0,1,1
491502,200.0,2005-08-24 13:28:00,4484,37,29,10,40684,35477,1,0,0.74,1,0,0,1,1
842469,500.0,2005-11-09 14:03:00,4505,37,29,4,23658,21845,1,0,0.21,1,0,0,1,1
689586,100.0,2005-10-07 11:24:00,4176,37,29,5,41042,36350,1,0,0.0,1,0,0,1,1
34060,500.0,2005-05-10 11:44:00,4581,37,29,2,11197,29546,1,0,0.21,1,0,0,1,1
184526,300.0,2005-06-16 20:49:00,3886,37,29,10,40684,35477,1,0,11.14,1,0,0,1,1
352105,200.0,2005-07-24 08:07:00,4225,37,29,2,1106,24676,1,0,0.12,1,0,0,1,1
109962,500.0,2005-05-30 11:45:00,2721,37,29,2,32605,34859,1,0,0.57,1,0,0,1,1
421431,200.0,2005-08-08 11:23:00,1637,37,29,5,41042,36350,1,0,0.0,1,0,0,1,1
664494,300.0,2005-10-01 16:57:00,28,37,29,4,23658,21845,1,0,0.13,1,0,0,1,1
25628,500.0,2005-05-07 14:02:00,614,37,29,10,40684,35477,1,0,0.02,1,0,0,1,1
494148,100.0,2005-08-25 11:38:00,936,37,29,2,1106,24676,1,0,14.49,1,0,0,1,1
250431,100.0,2005-07-02 15:35:00,3498,37,29,4,23658,21845,1,0,0.02,1,0,0,1,1
780024,500.0,2005-10-27 19:40:00,2724,37,29,4,26720,37007,1,0,0.11,1,0,0,1,1
507298,400.0,2005-08-28 17:49:00,2696,37,29,4,21363,23997,1,0,0.52,1,0,0,1,1
897413,500.0,2005-11-20 07:55:00,2847,37,29,10,40684,35477,1,0,0.03,1,0,0,1,1
42392,500.0,2005-05-13 07:15:00,1661,37,29,5,41042,36350,1,0,0.0,1,0,0,1,1
91485,100.0,2005-05-24 17:48:00,2892,37,29,2,1106,24676,1,0,0.2,1,0,0,1,1
261877,500.0,2005-07-05 17:04:00,1943,37,29,10,41181,17392,1,0,0.4,1,0,0,1,1
383550,100.0,2005-07-30 16:46:00,3444,37,29,2,1106,24676,1,0,0.08,1,0,0,1,1
789060,1000.0,2005-10-29 12:53:00,2696,37,29,4,21363,23997,1,0,2.0,1,0,0,1,1
545015,200.0,2005-09-05 11:40:00,936,37,29,2,1106,24676,1,0,0.6,1,0,0,1,1
765846,200.0,2005-10-24 06:11:00,1551,37,29,10,40684,35477,1,0,0.0,1,0,0,1,1
643551,300.0,2005-09-28 16:54:00,3364,37,29,10,40684,35477,1,0,0.34,1,0,0,1,1
743733,200.0,2005-10-18 16:16:00,4515,37,29,4,21363,23997,1,0,500.0,1,0,0,1,1
824732,100.0,2005-11-05 07:41:00,378,37,29,5,41042,36350,1,0,0.0,1,0,0,1,1
550998,100.0,2005-09-06 18:10:00,2724,37,29,4,26720,37007,1,0,0.23,1,0,0,1,1
855019,100.0,2005-11-12 15:11:00,1637,37,29,5,41042,36350,1,0,0.0,1,0,0,2,2
316580,200.0,2005-07-16 14:13:00,4273,37,29,4,21363,23997,1,0,42.11,1,0,0,2,2
395907,500.0,2005-08-01 19:47:00,1633,37,29,5,41042,36350,1,0,0.0,1,0,0,1,1
496093,200.0,2005-08-25 19:16:00,1841,37,29,5,41042,36350,1,0,0.0,1,0,0,2,2
32066,400.0,2005-05-09 17:03:00,5163,37,29,4,21363,23997,1,0,0.44,1,0,0,1,1
220579,100.0,2005-06-27 09:40:00,1829,37,29,10,41181,17392,1,0,0.41,1,0,0,1,1
515903,100.0,2005-08-30 19:44:00,2724,37,29,4,26720,37007,1,0,0.12,1,0,0,1,1
464838,500.0,2005-08-17 12:54:00,2847,37,29,10,40684,35477,1,0,0.16,1,0,0,1,1
441911,200.0,2005-08-13 10:50:00,3452,37,29,4,38229,36655,1,0,0.08,1,0,0,2,2
335470,100.0,2005-07-20 07:55:00,4007,37,29,2,1106,24676,1,0,0.03,1,0,0,1,1
663376,200.0,2005-10-01 14:44:00,614,37,29,10,40684,35477,1,0,0.04,1,0,0,1,1
9536,300.0,2005-05-03 08:22:00,1169,37,29,2,11197,29546,1,0,0.93,1,0,0,1,1
493842,400.0,2005-08-25 10:12:00,2696,37,29,4,21363,23997,1,0,3333.33,1,0,0,1,1
88208,500.0,2005-05-23 15:24:00,2725,37,29,4,26720,37007,1,0,0.13,1,0,0,1,1
738638,100.0,2005-10-17 15:00:00,2772,37,29,4,38229,36655,1,0,0.1,1,0,0,1,1
236697,200.0,2005-06-30 17:26:00,1942,37,29,4,26720,37007,1,0,0.06,1,0,0,1,1
39241,500.0,2005-05-11 20:48:00,2725,37,29,4,26720,37007,1,0,6.88,1,0,0,1,1
709120,100.0,2005-10-12 16:53:00,1962,37,29,4,21363,23997,1,0,250.0,1,0,0,1,1
433845,100.0,2005-08-12 05:05:00,603,37,29,4,38229,36655,1,0,0.06,1,0,0,1,1
541595,200.0,2005-09-04 12:36:00,2999,37,29,5,41042,36350,1,0,0.0,1,0,0,1,1
844960,2000.0,2005-11-10 10:28:00,2696,37,29,4,21363,23997,1,0,1342.28,1,1,0,1,1
795822,100.0,2005-10-30 17:23:00,3452,37,29,4,38229,36655,1,0,0.07,1,0,0,2,1
338006,300.0,2005-07-20 17:25:00,430,37,29,5,41042,36350,1,0,0.0,1,0,0,1,1
521801,500.0,2005-08-31 18:49:00,2696,37,29,4,21363,23997,1,0,0.26,1,0,0,1,1
486463,500.0,2005-08-22 18:24:00,4013,37,29,10,40684,35477,1,0,7.89,1,0,0,1,1
627616,300.0,2005-09-24 11:03:00,2724,37,29,4,26720,37007,1,0,0.04,1,0,0,1,1
597527,200.0,2005-09-16 19:29:00,2724,37,29,4,26720,37007,1,0,4.82,1,0,0,2,1
513523,100.0,2005-08-30 13:31:00,3988,37,29,4,38229,36655,1,0,0.05,1,0,0,1,1
623975,100.0,2005-09-23 13:29:00,1894,37,29,4,26720,37007,1,0,0.01,1,0,0,1,1
193539,100.0,2005-06-18 18:54:00,2981,37,29,2,32605,34859,1,0,0.08,1,0,0,1,1
567261,300.0,2005-09-10 19:43:00,2826,37,29,2,11197,29546,1,0,0.19,1,0,0,1,1
932031,300.0,2005-11-28 19:10:00,1673,37,29,10,40684,35477,1,0,0.05,1,0,0,1,1
669277,200.0,2005-10-02 14:10:00,3827,37,29,10,40684,35477,1,0,0.0,1,0,0,1,1
499289,100.0,2005-08-26 17:49:00,3052,37,29,4,38229,36655,1,0,0.09,1,0,0,1,1
298935,100.0,2005-07-14 12:51:00,3988,37,29,4,38229,36655,1,0,0.1,1,0,0,1,1
850930,200.0,2005-11-11 17:37:00,4011,37,29,2,11197,29546,1,0,350.88,1,0,0,1,1
571325,500.0,2005-09-12 10:14:00,1661,37,29,5,41042,36350,1,0,0.01,1,0,0,1,1
394983,300.0,2005-08-01 18:21:00,2725,37,29,4,26720,37007,1,0,0.09,1,0,0,1,1
136999,200.0,2005-06-04 14:56:00,38,37,29,5,41042,36350,1,0,0.0,1,0,0,1,1
554768,500.0,2005-09-07 18:21:00,3491,37,29,4,23658,21845,1,0,0.28,1,0,0,1,1
849347,2000.0,2005-11-11 12:24:00,4676,37,29,10,40684,35477,1,0,0.06,1,1,0,1,1
674759,200.0,2005-10-03 17:09:00,4392,37,29,10,41181,17392,1,0,0.19,1,0,0,2,2
113733,1000.0,2005-05-31 08:54:00,3886,37,29,10,40684,35477,1,0,0.34,1,0,0,1,1
849234,2000.0,2005-11-11 12:03:00,2696,37,29,4,21363,23997,1,0,1.93,1,1,0,1,1
98786,300.0,2005-05-27 12:07:00,3357,37,29,2,32605,34859,1,0,0.2,1,0,0,1,1
332465,100.0,2005-07-19 12:40:00,2721,37,29,2,32605,34859,1,0,0.02,1,0,0,2,1
757151,500.0,2005-10-21 18:24:00,3357,37,29,2,32605,34859,1,0,0.27,1,0,0,1,1
757155,500.0,2005-10-21 18:25:00,3357,37,29,2,32605,34859,1,0,0.27,1,0,0,2,1
709151,500.0,2005-10-12 17:00:00,2721,37,29,2,32605,34859,1,0,0.13,1,0,0,4,1
633906,500.0,2005-09-25 18:30:00,1895,37,29,2,32605,34859,1,0,0.04,1,0,0,3,1
633912,500.0,2005-09-25 18:31:00,1895,37,29,2,32605,34859,1,0,0.04,1,0,0,4,1
850419,500.0,2005-11-11 16:15:00,2721,37,29,2,32605,34859,1,0,0.97,1,0,0,1,1
472436,600.0,2005-08-19 11:00:00,623,37,29,5,41042,36350,1,0,0.01,1,0,0,1,1
80144,500.0,2005-05-21 08:40:00,5114,37,29,4,21363,23997,1,0,0.59,1,0,0,1,1
145904,200.0,2005-06-07 13:19:00,1165,37,29,2,11197,29546,1,0,0.1,1,0,0,2,2
840026,300.0,2005-11-08 17:59:00,3686,37,29,5,41042,36350,1,0,0.0,1,0,0,3,3
835176,200.0,2005-11-07 13:52:00,2721,37,29,2,32605,34859,1,0,0.1,1,0,0,1,1
630986,200.0,2005-09-25 08:54:00,1894,37,29,4,26720,37007,1,0,0.03,1,0,0,1,1
334607,300.0,2005-07-19 18:44:00,4224,37,29,4,26720,37007,1,0,0.33,1,0,0,1,1
515069,500.0,2005-08-30 18:11:00,2696,37,29,4,21363,23997,1,0,2.92,1,0,0,3,2
911199,100.0,2005-11-23 16:03:00,1459,37,29,4,23658,21845,1,0,0.11,1,0,0,1,1
477376,300.0,2005-08-20 12:00:00,2724,37,29,4,26720,37007,1,0,0.03,1,0,0,1,1
496454,300.0,2005-08-25 22:19:00,28,37,29,4,23658,21845,1,0,0.24,1,0,0,1,1
168039,1000.0,2005-06-14 14:25:00,3988,37,29,4,38229,36655,1,0,1315.79,1,0,0,1,1
306621,300.0,2005-07-15 14:10:00,1943,37,29,10,41181,17392,1,0,0.08,1,0,0,2,1
641283,100.0,2005-09-28 08:33:00,2731,37,29,4,21363,23997,1,0,0.99,1,0,0,1,1
844405,300.0,2005-11-10 07:20:00,4012,37,29,2,32605,34859,1,0,0.17,1,0,0,3,1
452994,100.0,2005-08-15 10:04:00,1943,37,29,10,41181,17392,1,0,0.08,1,0,0,1,1
462096,100.0,2005-08-16 18:29:00,1954,37,29,10,41181,17392,1,0,0.17,1,0,0,2,2
479032,500.0,2005-08-20 16:24:00,4012,37,29,2,32605,34859,1,0,0.04,1,0,0,4,2
16464,100.0,2005-05-05 06:17:00,3988,37,29,4,38229,36655,1,0,0.24,1,0,0,1,1
159168,500.0,2005-06-11 13:36:00,2721,37,29,2,32605,34859,1,0,0.67,1,0,0,1,1
561839,200.0,2005-09-09 17:20:00,3367,37,29,4,23658,21845,1,0,0.07,1,0,0,2,2
497388,800.0,2005-08-26 11:33:00,286,37,29,10,40684,35477,1,0,0.06,1,0,0,1,1
559475,500.0,2005-09-09 08:49:00,3491,37,29,4,23658,21845,1,0,0.18,1,0,0,1,1
255890,100.0,2005-07-04 10:19:00,2696,37,29,4,21363,23997,1,0,0.06,1,0,0,1,1
879431,200.0,2005-11-16 17:43:00,4224,37,29,4,23658,21845,1,0,0.05,1,0,0,1,1
644221,200.0,2005-09-28 18:15:00,2724,37,29,4,26720,37007,1,0,0.03,1,0,0,1,1
505854,200.0,2005-08-28 11:48:00,2772,37,29,4,38229,36655,1,0,0.19,1,0,0,1,1
272220,500.0,2005-07-08 11:44:00,2721,37,29,2,32605,34859,1,0,0.36,1,0,0,1,1
154564,100.0,2005-06-10 12:26:00,1814,37,29,2,1106,24676,1,0,0.2,1,0,0,1,1
76526,1200.0,2005-05-20 10:08:00,1551,37,29,10,40684,35477,1,0,0.18,1,0,0,1,1
72962,100.0,2005-05-19 07:59:00,3793,37,29,2,11197,29546,1,0,0.97,1,0,0,1,1
634434,200.0,2005-09-26 06:01:00,3988,37,29,4,38229,36655,1,0,0.19,1,0,0,1,1
40270,100.0,2005-05-12 12:12:00,1761,37,29,2,11197,29546,1,0,0.09,1,0,0,3,2
9359,600.0,2005-05-03 06:37:00,2847,37,29,10,40684,35477,1,0,0.53,1,0,0,1,1
